SurveyID,Weight_norm,geo,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_13,activity_14,activity_7,activity_8,,fish_1,fish_2,fish_3,fish_4,fish_5,consume,source_a,source_b,source_c,source_1,source_2,source_3,source_4,source_5,condition_1,condition_2,condition_3,condition_7,condition_8,last10_1,last10_2,last10_3,last10_7,last10_8,next10,value_1,value_2,value_3,value_4,threatfam_1,threatfam_2,threatfam_3,threatfam_4,threatfam_5,threatfam_6,threatfam_7,threatfam_8,threatfam_12,threatfam_13,threatlvl,MPAfam,mngmnt_20,mngmnt_2,mngmnt_13,mngmnt_21,mngmnt_22,mngmnt_11,mngmnt_12,mngmnt_15,mngmnt_16,mngmnt_17,mngmnt_19,mngmnt_23,envbehavior,infosource_a,infosource_b,infosource_c,infosource_1,infosource_2,infosource_3,infosource_4,infosource_6,infosource_7,infosource_15,infosource_9,infosource_10,infosource_11,sourcetrust_1,sourcetrust_2,sourcetrust_3,sourcetrust_4,sourcetrust_5,sourcetrust_6,sourcetrust_13,sourcetrust_7,sourcetrust_8,sourcetrust_9,sourcetrust_10,comminvolve,commdefine,decisions,sex,age,tenure,language_1,language_2,language_3,language_24,language_25,language_8,language_9,language_10,language_11,language_13,language_14,language_15,language_16,language_17,language_20,language_21,language_23,language_22,race_11,race_14,race_7,race_10,race_9,race_12,race_19,race_25,race_31,race_15,race_18,race_28,race_3,race_1,race_23,race_20,race_22,race_26,race_29,educ,employ,employ_specify,occup,hhincome
1738,2.4,1,2,1,1,1,2,2,1,1,1,1,13,.,.,.,.,.,4,1,.,.,1,0,0,0,0,3,2,2,3,3,2,2,2,8,8,1,4,1,4,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,8,4,4,4,8,8,4,1,3,10,1,0,1,0,0,0,0,0,1,0,4,.,4,.,.,.,.,.,4,.,.,5,.,1,2,1955,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Principal,10
1740,2.4,1,2,2,2,2,2,2,1,1,1,1,16,.,.,.,.,.,0,9,.,.,0,0,0,0,0,4,4,2,4,2,2,2,2,3,2,1,5,1,4,5,5,4,5,5,4,5,5,4,4,2,4,5,5,4,5,5,5,5,4,4,4,4,5,4,2,1,6,.,1,0,0,0,1,0,0,0,0,0,1,.,.,.,4,.,.,.,.,.,.,2,.,2,1,1957,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Shipwright,8
1743,2.4,1,4,4,4,4,4,2,4,4,2,2,34,1,1,1,1,1,30,1,2,.,1,1,0,0,0,3,2,2,2,3,4,2,3,3,4,1,4,2,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,7,0,1,1,0,0,1,0,0,0,0,.,2,5,.,.,4,.,.,.,.,.,5,.,4,1,1992,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,.,4,3,.,Data Provider,9
1744,2.4,1,2,2,1,3,4,1,1,1,3,2,20,3,1,2,1,2,,2,3,.,0,1,1,0,0,4,8,4,4,4,2,8,2,2,2,1,4,2,4,4,4,4,2,4,2,2,4,2,4,2,4,4,3,4,2,3,4,4,4,4,4,2,3,2,5,6,7,11,0,0,0,0,1,1,0,0,0,1,.,.,.,.,4,5,.,.,.,5,.,3,.,2,1,1977,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,.,.,4,2,.,.,2
1745,2.4,1,4,1,1,2,1,1,1,1,1,1,14,.,.,.,.,.,,1,.,.,1,0,0,0,0,5,4,4,4,4,3,3,3,3,3,2,3,2,4,5,2,1,2,1,1,1,1,1,1,1,4,1,4,5,4,4,4,4,4,4,4,4,4,4,1,3,4,6,0,0,1,1,1,0,0,0,0,0,.,.,4,4,4,.,.,.,.,.,.,1,.,1,1,1991,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,3,.,Retail Store Stocker,6
1746,2.4,1,4,3,3,2,2,1,3,3,1,2,24,3,1,1,1,3,1,1,3,.,1,0,1,0,0,3,2,2,3,3,2,2,2,3,2,1,4,2,4,4,4,2,4,5,4,3,5,4,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,1,4,6,1,0,0,1,1,0,0,0,0,0,4,.,.,4,5,.,.,.,.,.,.,2,.,3,2,1994,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Teacher,11
1749,2.4,1,2,2,1,1,2,2,1,1,1,1,14,.,.,.,.,.,,1,.,.,1,0,0,0,0,3,1,2,3,3,3,3,3,3,3,1,4,2,4,2,5,5,3,5,4,1,2,4,4,5,5,1,5,5,3,3,5,4,1,4,4,2,5,4,1,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,4,.,.,.,.,.,.,.,.,1,.,1,1,1949,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Engineer,6
1751,2.4,1,4,3,1,1,3,1,1,1,1,1,17,.,.,.,.,.,1,3,4,.,0,0,1,1,0,4,4,3,4,4,4,5,4,4,3,3,5,5,5,5,5,5,4,5,5,2,5,5,5,2,3,5,5,5,5,5,5,5,3,5,5,5,5,5,2,1,3,4,1,0,1,1,0,0,0,0,0,0,5,.,5,5,.,.,.,.,.,.,.,2,.,3,1,1960,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Chemical engineer,3
1752,2.4,1,1,1,1,1,2,1,1,1,1,1,11,.,.,.,.,.,1,1,.,.,1,0,0,0,0,5,4,4,5,5,3,3,3,3,3,1,5,1,3,5,4,2,5,5,5,2,5,5,5,5,3,1,3,5,5,5,5,3,5,5,5,5,5,5,3,1,4,6,1,0,0,1,1,0,0,0,0,0,4,.,.,4,5,.,.,.,.,.,.,1,.,1,1,1977,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.,.,4,3,.,Information technology,10
1754,2.4,1,3,1,1,2,2,1,1,1,1,1,14,.,.,.,.,.,,5,.,.,0,0,0,0,1,2,2,2,3,8,3,3,3,3,3,2,4,4,4,4,4,4,2,4,2,4,4,5,5,1,3,2,2,4,2,4,2,4,4,4,4,2,4,4,2,1,3,6,1,0,1,0,1,0,0,0,0,0,4,.,4,.,4,.,.,.,.,.,.,3,.,3,1,1958,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,3,.,Operator,4
1755,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,4,1,3,.,1,0,1,0,0,4,4,8,8,8,3,3,3,3,3,2,4,2,4,4,4,2,4,4,4,2,4,4,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,4,.,.,.,.,.,.,.,.,3,.,1,2,.,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Visayan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,8,8,.,.,11
1757,2.4,1,4,2,2,2,3,2,1,1,2,1,20,4,1,3,3,1,4,1,5,.,1,0,0,0,1,4,3,3,4,3,4,3,3,3,3,3,4,1,3,4,5,5,5,5,5,3,8,4,4,5,3,5,4,5,5,4,3,4,4,8,4,4,5,2,3,1,4,.,1,0,0,1,0,0,0,0,0,0,4,.,.,3,.,.,.,.,.,.,.,5,.,2,1,1954,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,5,3,.,Scientist,9
1758,2.4,1,3,2,3,1,2,1,4,1,1,3,21,4,4,4,4,1,4,2,3,.,0,1,1,0,0,4,4,3,4,4,4,5,4,5,4,3,5,5,5,5,5,2,5,5,5,2,5,2,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,3,11,1,0,1,0,0,0,0,0,0,1,4,.,4,.,.,.,.,.,.,4,.,1,.,4,1,1956,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,5,.,Office clerk,2
1763,2.4,1,2,1,1,2,2,1,1,1,2,2,15,2,1,1,4,2,4,2,.,.,0,1,0,0,0,4,4,1,4,4,3,3,2,3,3,2,4,4,5,5,2,4,4,5,2,4,4,2,5,2,2,4,3,4,4,5,5,5,5,5,5,4,4,4,2,2,3,4,0,1,1,1,0,0,0,0,0,0,.,4,4,5,.,.,.,.,.,.,.,2,.,2,1,1972,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Customer service,5
1767,2.4,1,4,2,2,2,3,1,4,1,2,3,24,3,1,3,3,3,4,1,5,.,1,0,0,0,1,5,4,5,5,5,5,3,3,3,3,3,5,5,4,5,2,2,4,4,2,2,2,4,4,2,4,5,4,5,4,4,4,4,4,4,4,2,4,2,2,3,6,7,0,0,1,0,1,1,0,0,0,0,.,.,4,.,4,4,.,.,.,.,.,2,.,1,1,1975,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.,.,3,3,.,Machine operator,4
1769,2.4,1,4,3,2,2,4,1,4,3,2,2,27,3,1,3,2,3,4,1,3,.,1,0,1,0,0,4,8,4,4,4,3,2,3,3,3,1,4,2,4,4,2,2,4,8,8,8,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,3,1,4,6,1,0,0,1,1,0,0,0,0,0,4,.,.,4,4,.,.,.,.,.,.,3,.,1,1,1988,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.,.,6,3,.,Construction lawyer,10
1780,2.4,1,2,2,1,2,3,1,1,2,1,1,16,.,.,.,.,.,4,1,3,.,1,0,1,0,0,4,2,3,4,3,2,2,2,2,2,1,4,1,4,4,5,4,4,4,4,5,3,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,5,4,3,4,10,11,0,0,0,1,0,0,0,0,1,1,.,.,.,4,.,.,.,.,5,4,.,3,.,2,1,1975,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,School administrator,9
1781,2.4,1,2,1,1,1,2,1,1,1,1,1,12,.,.,.,.,.,,2,.,.,0,1,0,0,0,4,4,4,4,4,3,3,3,3,3,2,5,1,5,5,4,5,2,5,2,5,4,5,5,2,3,2,5,5,4,4,5,5,4,4,4,5,4,4,2,1,2,3,1,1,1,0,0,0,0,0,0,0,4,4,5,.,.,.,.,.,.,.,.,3,.,1,2,1960,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,3,.,Accounting clerk,5
1783,2.4,1,2,2,2,1,4,1,1,1,2,3,19,3,1,3,4,3,4,3,.,.,0,0,1,0,0,4,3,2,2,1,3,3,1,2,1,3,3,4,4,4,5,5,4,5,4,5,3,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,10,.,1,0,0,0,0,0,0,0,1,0,4,.,.,.,.,.,.,.,5,.,.,1,.,1,1,1950,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.,Polynesian,4,6,.,.,7
1786,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,,1,2,.,1,1,0,0,0,4,8,8,4,4,4,3,4,4,3,2,4,4,5,5,4,4,4,4,4,4,4,4,4,8,3,4,4,4,4,4,4,4,4,4,4,4,8,8,5,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,3,.,4,2,1933,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,6,.,.,7
1787,2.4,1,4,1,1,2,2,1,1,1,2,2,17,2,1,2,2,1,4,2,3,.,0,1,1,0,0,2,3,2,2,2,2,2,2,2,2,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,1,2,1,6,12,1,0,0,0,1,0,0,0,0,0,4,.,.,.,5,.,.,.,.,.,5,2,.,1,1,1953,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Communications,4
1788,2.4,1,1,1,7,1,1,1,7,1,1,1,22,.,.,.,.,.,1,1,2,.,1,1,0,0,0,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,4,4,2,4,4,2,4,2,1,3,.,.,0,0,1,0,0,0,0,0,0,0,.,.,8,.,.,.,.,.,.,.,.,1,.,1,1,1952,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,6,.,.,11
1796,2.4,1,1,1,1,1,2,1,1,1,1,1,11,.,.,.,.,.,4,2,.,.,0,1,0,0,0,3,3,2,2,2,2,2,2,1,2,1,5,1,5,5,4,4,4,4,4,4,4,4,4,4,3,2,5,5,5,5,5,5,5,5,5,4,4,4,1,1,.,.,1,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,2,.,2,1,1952,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Physician,10
1797,2.4,1,2,1,1,2,3,1,1,1,1,1,14,.,.,.,.,.,,1,2,.,1,1,0,0,0,4,8,4,8,4,4,8,3,8,4,1,4,3,4,5,2,2,2,4,3,2,3,2,2,2,8,2,5,5,4,5,5,5,5,4,5,4,4,4,5,1,3,14,1,0,1,0,0,0,1,0,0,0,4,.,5,.,.,.,5,.,.,.,.,8,.,2,2,1946,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,8,8,.,.,11
1798,2.4,1,2,1,1,1,2,1,2,2,1,1,14,.,.,.,.,.,1,1,.,.,1,0,0,0,0,4,4,4,4,4,3,2,3,3,3,2,4,1,2,5,2,3,2,2,2,2,2,2,4,2,3,1,3,4,3,4,5,4,4,3,3,5,3,4,5,1,4,6,1,0,0,1,1,0,0,0,0,0,5,.,.,3,4,.,.,.,.,.,.,2,.,1,2,1980,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,2,.,.,5
1800,2.4,1,4,2,1,4,3,1,1,1,1,1,19,.,.,.,.,.,,1,2,.,1,1,0,0,0,3,3,3,4,2,3,3,3,3,2,1,4,1,4,4,5,1,1,4,2,4,5,5,4,1,4,2,4,5,4,3,5,5,4,4,5,2,3,4,1,3,4,6,0,0,1,1,1,0,0,0,0,0,.,.,3,3,4,.,.,.,.,.,.,1,.,1,1,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,1,.,.,2
1802,2.4,1,3,2,1,2,3,1,3,2,1,1,19,.,.,.,.,.,4,1,5,.,1,0,0,0,1,5,4,4,4,3,3,3,3,3,3,1,4,2,5,5,4,2,4,4,2,2,2,2,4,4,4,4,4,4,4,2,5,4,5,3,4,2,4,3,3,1,7,10,1,0,0,0,0,1,0,0,1,0,4,.,.,.,.,4,.,.,5,.,.,2,.,1,1,1963,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Military Officer,10
1804,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,,1,.,.,1,0,0,0,0,3,4,4,5,4,3,3,4,4,4,3,5,8,2,5,4,4,4,4,4,4,4,5,4,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,2,10,.,.,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,.,.,5,.,.,2,.,1,1,1929,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tamil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sri Lankan,.,4,6,.,.,4
1806,2.4,1,2,1,1,1,2,1,1,1,1,1,12,.,.,.,.,.,4,1,.,.,1,0,0,0,0,5,4,8,4,8,2,3,3,3,3,3,4,2,8,4,4,2,4,4,2,4,4,4,4,2,3,4,4,4,8,8,4,4,4,8,4,2,2,4,5,1,3,6,1,0,1,0,1,0,0,0,0,0,4,.,4,.,4,.,.,.,.,.,.,8,.,1,2,1951,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,.,4,3,.,Educational assistant,7
1808,2.4,1,2,2,1,1,2,1,1,1,1,1,13,.,.,.,.,.,4,1,2,.,1,1,0,0,0,4,4,4,5,4,5,4,4,5,4,3,5,3,3,5,4,4,5,5,5,5,4,3,3,4,3,4,5,5,3,3,5,4,5,3,5,4,3,4,5,1,3,4,1,0,1,1,0,0,0,0,0,0,5,.,4,4,.,.,.,.,.,.,.,5,.,4,2,1969,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Teacher,9
1842,2.4,1,2,1,1,1,2,1,1,1,1,1,12,.,.,.,.,.,1,1,.,.,1,0,0,0,0,4,4,3,4,4,2,3,2,3,2,2,2,2,4,2,1,1,1,2,4,2,4,2,2,2,3,2,4,4,4,4,5,4,5,4,4,2,4,4,3,3,4,7,0,0,1,1,0,1,0,0,0,0,.,.,4,4,.,4,.,.,.,.,.,2,.,4,1,1993,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,2,.,.,4
1846,2.4,1,1,2,2,2,1,1,4,1,1,1,16,.,.,.,.,.,,5,.,.,0,0,0,0,1,4,4,4,4,4,3,3,3,3,3,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,4,4,4,2,4,2,5,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,2,2,.,.,.,.,.,.,.,1,.,1,1,1992,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.,.,3,2,.,.,1
1850,2.4,1,2,1,2,2,4,1,2,1,4,4,23,4,1,4,4,4,30,1,3,.,1,0,1,0,0,5,4,5,5,4,5,4,5,5,4,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,5,2,4,4,4,2,4,4,4,4,4,4,8,2,1,1,3,4,1,0,1,1,0,0,0,0,0,0,4,.,4,4,.,.,.,.,.,.,.,4,.,1,2,1991,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,1,.,.,2
1858,2.4,1,4,4,4,2,2,2,4,2,2,2,28,3,3,1,3,3,4,1,2,.,1,1,0,0,0,5,3,2,3,1,3,3,2,3,2,1,4,2,4,4,5,5,4,4,5,5,4,4,4,5,3,5,4,4,4,4,4,4,4,8,4,4,4,4,3,4,10,11,0,0,0,1,0,0,0,0,1,1,.,.,.,4,.,.,.,.,5,4,.,3,.,2,1,1979,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,3,.,Biology teacher,11
1862,2.4,1,4,3,1,2,3,3,2,2,3,1,24,3,1,1,3,3,1,1,3,.,1,0,1,0,0,1,3,3,3,3,3,1,1,3,3,1,3,2,4,4,4,4,4,4,4,2,4,2,2,2,5,2,5,5,5,4,5,5,5,4,4,2,4,5,3,1,2,4,1,1,0,1,0,0,0,0,0,0,5,4,.,3,.,.,.,.,.,.,.,3,.,3,1,1982,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.,.,4,3,.,Military,6
1868,2.4,1,3,1,1,2,2,2,2,2,2,1,18,2,1,3,2,1,1,4,5,.,0,0,0,1,1,2,1,1,1,1,2,2,2,3,2,1,5,1,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,5,5,2,5,1,6,10,1,0,0,0,1,0,0,0,1,0,4,.,.,.,4,.,.,.,4,.,.,2,.,1,2,.,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Neo-Melanesian, Creole",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,5,4,.,.,11
1873,2.4,1,2,1,1,1,4,1,1,1,1,1,14,.,.,.,.,.,1,1,.,.,1,0,0,0,0,5,3,8,5,8,4,2,4,3,8,1,5,1,4,5,4,5,4,5,5,4,4,4,4,2,3,3,5,4,4,8,5,5,5,8,5,5,4,4,3,1,.,.,1,0,0,0,0,0,0,0,0,0,4,.,.,.,.,.,.,.,.,.,.,3,.,1,1,1941,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,6,6,.,.,8
1875,2.4,1,4,2,1,1,3,2,1,1,1,1,17,.,.,.,.,.,1,5,.,.,0,0,0,0,1,4,2,4,4,4,3,3,3,4,3,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,3,2,3,6,0,1,1,0,1,0,0,0,0,0,.,4,4,.,4,.,.,.,.,.,.,4,.,3,1,1949,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,5,3,.,Teacher,8
1877,2.4,1,4,2,2,2,4,2,4,1,2,2,25,2,2,4,4,4,4,2,.,.,0,1,0,0,0,3,3,2,2,2,3,3,1,1,1,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,3,4,6,11,0,0,0,1,1,0,0,0,0,1,.,.,.,5,5,.,.,.,.,5,.,3,.,5,1,1964,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Health care executive,11
1879,2.4,1,4,4,4,4,4,4,4,1,4,2,35,1,1,1,4,1,,1,.,.,1,0,0,0,0,4,2,2,3,2,3,2,2,2,1,1,4,1,5,5,5,5,5,5,5,5,5,4,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,3,5,1,4,11,1,0,0,1,0,0,0,0,0,1,4,.,.,4,.,.,.,.,.,5,.,4,.,4,1,1960,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,3,.,Senior executive,11
1880,2.4,1,2,1,1,2,2,1,1,1,1,1,13,.,.,.,.,.,4,2,.,.,0,1,0,0,0,3,2,1,8,1,2,1,2,2,2,1,4,2,4,4,4,3,4,4,2,2,4,2,2,2,8,2,8,8,2,8,4,3,3,3,3,3,8,8,4,1,3,.,1,0,1,0,0,0,0,0,0,0,3,.,3,.,.,.,.,.,.,.,.,1,.,1,2,1969,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,5,1,.,.,1
1882,2.4,1,1,1,1,1,2,1,1,1,2,1,12,3,1,3,4,1,1,2,3,.,0,1,1,0,0,4,3,1,2,2,3,3,2,2,2,1,5,2,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,2,2,3,10,11,0,0,1,0,0,0,0,0,1,1,.,.,4,.,.,.,.,.,4,4,.,2,.,1,1,1945,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.,Polynesian,5,6,.,.,11
1883,2.4,1,1,1,1,1,2,1,1,1,1,1,11,.,.,.,.,.,1,1,2,.,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,4,0,1,1,1,0,0,0,0,0,0,.,2,5,4,.,.,.,.,.,.,.,5,.,1,2,1988,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,5,.,Baker,3
1884,2.4,1,2,2,1,1,1,1,1,1,1,1,12,.,.,.,.,.,1,2,.,.,0,1,0,0,0,2,2,2,3,3,3,2,2,2,2,1,5,2,3,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,4,5,4,3,1,3,10,1,0,1,0,0,0,0,0,1,0,3,.,3,.,.,.,.,.,5,.,.,4,.,2,1,1950,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,6,.,.,3
1885,2.4,1,1,1,1,1,1,1,1,1,1,1,10,.,.,.,.,.,0,6,.,We never eat seafood,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,8,8,.,1,1,1928,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,3,6,.,.,11
1887,2.4,1,2,2,2,2,2,2,2,2,2,2,20,1,1,1,1,1,1,8,.,.,.,.,.,.,.,3,2,2,1,1,1,1,1,1,1,1,5,1,5,5,4,2,4,5,5,5,4,4,4,4,5,2,3,5,4,5,5,5,4,3,3,4,4,2,1,2,4,6,0,1,0,1,1,0,0,0,0,0,.,4,.,4,4,.,.,.,.,.,.,2,.,1,2,1983,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,German,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,4,2,.,.,2
