rgn_id,year,species,llic,number,lbs,family,mus,X9
2,2013,Striped marlin,10,9,678,Istiophoridae,PMUS,pelagic
2,2014,Striped marlin,10,16,848,Istiophoridae,PMUS,pelagic
2,2015,Striped marlin,10,15,1122,Istiophoridae,PMUS,pelagic
2,2016,Striped marlin,10,17,1036,Istiophoridae,PMUS,pelagic
2,2017,Striped marlin,8,7,506,Istiophoridae,PMUS,pelagic
1,2012,Striped marlin,56,116,5530,Istiophoridae,PMUS,pelagic
1,2013,Striped marlin,45,73,5031,Istiophoridae,PMUS,pelagic
1,2014,Striped marlin,55,119,6020,Istiophoridae,PMUS,pelagic
1,2015,Striped marlin,49,78,5913,Istiophoridae,PMUS,pelagic
1,2016,Striped marlin,53,95,6259,Istiophoridae,PMUS,pelagic
1,2017,Striped marlin,37,59,4286,Istiophoridae,PMUS,pelagic
1,2012,Keokeo,4,4,8,Keokeo,PMUS,pelagic
1,2015,Keokeo,3,6,14,Keokeo,PMUS,pelagic
2,2012,Aku,57,1217,8276,Scombridae,PMUS,pelagic
2,2013,Aku,41,759,5470,Scombridae,PMUS,pelagic
2,2014,Aku,42,1074,6076,Scombridae,PMUS,pelagic
2,2015,Aku,49,1130,7267,Scombridae,PMUS,pelagic
2,2016,Aku,37,585,6365,Scombridae,PMUS,pelagic
2,2017,Aku,46,607,6442,Scombridae,PMUS,pelagic
1,2012,Aku,199,7244,41777,Scombridae,PMUS,pelagic
1,2013,Aku,172,4765,30444,Scombridae,PMUS,pelagic
1,2014,Aku,163,4878,30662,Scombridae,PMUS,pelagic
1,2015,Aku,161,2905,21351,Scombridae,PMUS,pelagic
1,2016,Aku,144,3083,27238,Scombridae,PMUS,pelagic
1,2017,Aku,150,1430,19275,Scombridae,PMUS,pelagic
2,2012,Bigeye tuna,18,1712,19331,Scombridae,PMUS,pelagic
2,2013,Bigeye tuna,14,915,21635,Scombridae,PMUS,pelagic
2,2014,Bigeye tuna,22,454,7173,Scombridae,PMUS,pelagic
2,2015,Bigeye tuna,14,166,1492,Scombridae,PMUS,pelagic
2,2016,Bigeye tuna,15,320,4564,Scombridae,PMUS,pelagic
2,2017,Bigeye tuna,12,277,5992,Scombridae,PMUS,pelagic
1,2012,Bigeye tuna,114,3571,43054,Scombridae,PMUS,pelagic
1,2013,Bigeye tuna,121,3509,64334,Scombridae,PMUS,pelagic
1,2014,Bigeye tuna,128,4427,81979,Scombridae,PMUS,pelagic
1,2015,Bigeye tuna,81,1007,17286,Scombridae,PMUS,pelagic
1,2016,Bigeye tuna,91,1543,29968,Scombridae,PMUS,pelagic
1,2017,Bigeye tuna,75,828,26382,Scombridae,PMUS,pelagic
2,2012,Kawakawa,8,22,209,Scombridae,PMUS,pelagic
2,2013,Kawakawa,13,36,373,Scombridae,PMUS,pelagic
2,2014,Kawakawa,24,208,682,Scombridae,PMUS,pelagic
2,2015,Kawakawa,27,255,1115,Scombridae,PMUS,pelagic
2,2016,Kawakawa,24,148,906,Scombridae,PMUS,pelagic
2,2017,Kawakawa,23,95,675,Scombridae,PMUS,pelagic
1,2012,Kawakawa,13,17,230,Scombridae,PMUS,pelagic
1,2013,Kawakawa,5,19,234,Scombridae,PMUS,pelagic
1,2014,Kawakawa,25,371,1043,Scombridae,PMUS,pelagic
1,2015,Kawakawa,24,653,2025,Scombridae,PMUS,pelagic
1,2016,Kawakawa,25,193,879,Scombridae,PMUS,pelagic
1,2017,Kawakawa,20,65,407,Scombridae,PMUS,pelagic
2,2012,Ono,124,1531,35843,Scombridae,PMUS,pelagic
2,2013,Ono,125,1448,32398,Scombridae,PMUS,pelagic
2,2014,Ono,117,1378,30854,Scombridae,PMUS,pelagic
2,2015,Ono,134,1767,38710,Scombridae,PMUS,pelagic
2,2016,Ono,101,1230,26232,Scombridae,PMUS,pelagic
2,2017,Ono,90,710,14751,Scombridae,PMUS,pelagic
1,2012,Ono,371,4882,118634,Scombridae,PMUS,pelagic
1,2013,Ono,348,4733,111188,Scombridae,PMUS,pelagic
1,2014,Ono,360,5487,121632,Scombridae,PMUS,pelagic
1,2015,Ono,338,4877,106097,Scombridae,PMUS,pelagic
1,2016,Ono,266,3458,75926,Scombridae,PMUS,pelagic
1,2017,Ono,257,2455,53910,Scombridae,PMUS,pelagic
2,2012,Tombo,17,748,35827,Scombridae,PMUS,pelagic
2,2013,Tombo,3,14,614,Scombridae,PMUS,pelagic
2,2014,Tombo,9,102,4847,Scombridae,PMUS,pelagic
